count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,clean_text
47,0,0,0,15,0,0,doy ou think greedi natur learn selfish not natur learn accept want greedi not wont simpl
12,0,0,0,1,0,0,wunt di ckk kum get den
19,0,0,0,1,0,0,oddli spelt one bbi not help what start end nigga
33,0,0,0,1,0,0,someon told believ everyon form bisexu agre disagre explain think everyon curiou depend much
20,0,0,0,1,0,0,dont tell love dont last longer
12,0,0,0,1,0,0,ever date someon band yep
14,0,0,0,1,0,0,candi candi would skittl
99,0,0,0,2,0,0,would rather someon paint pictur write poem hmmmm depend much effort put mean someon artist paint pictur mean much say writer paint pictur vice versa writer wrote poem artist wrote poem one would mean one took effort concentr know mean
15,0,0,3,1,0,0,bahahaha noooo side burn guy thank lmfao hahagreat
55,0,0,0,1,0,0,want rain parad sure hate ignor texan believ texa give right act like low level scum sucker need live real world pull head dark place shove amen
49,0,0,0,4,0,0,last babi held old boy girl want kid daughter great last babi held niec babi girl week old
17,0,0,1,3,0,0,heeyyyyyyy honey sexi betchhh valentin no
43,0,0,0,1,0,0,hate ur fuck gut amp lindsey grossest thing ive ever seen haha noth special us shut mouth better depend girl not haha
7,0,0,0,0,0,0,virgin yezzir
13,0,0,0,1,0,0,okay okay uhhh like girl yeah
9,0,0,0,2,0,0,live bill hah
16,0,0,0,0,0,0,like kelli definit love name thank parent obvious agre
73,0,1,4,2,0,0,good friend recent got control bf gf bf gf want spend time forbid see talk friend agre not talk react walk away fuck em friendship unimport kiss ass
21,0,0,1,2,0,0,yeah lol apo work nz schoold mostli
6,0,0,0,0,0,0,jerrrk ilovey
23,4,0,0,4,0,0,qq qq wtf iluk gay datz mi homeboi
42,0,0,0,0,0,0,dont givafuck ur friendless previous state one comment except firey bitch ahaha friend know tri teach life
10,0,0,0,1,0,0,grade go th
10,0,0,0,0,0,0,yo day april th
9,0,0,0,2,0,0,ok cool haha anyway
13,0,0,0,1,0,0,pretti gorgeou hahaha sens sarcasm
12,0,0,0,1,0,0,bitch kant rapp niqquh suk dik pussi
19,0,0,1,0,0,0,zoomik zoorissa zoonata idc omg not zoo nata not dork
8,0,0,0,0,0,0,obes not close obes
24,0,0,0,0,0,0,iz tru dat yu wuz shakin meat da hannah montana show wtf idnt watch dat nd no iwasnt
18,0,0,2,1,0,0,sleepin around whore lol exactlyyyyyy guess im not xd
32,0,1,0,3,0,0,seen trailer lindsay lohan new movi quot machet quot think nope check
17,0,0,0,0,0,0,first time beer dont drink beer lol
15,0,0,0,2,0,0,yuh got yer nose piercedd yeah lolz miss chichi
17,0,0,0,1,0,0,take life serious not seriou enough think seriou enough
39,0,0,12,1,0,0,priscilla aint hoe dnt suk dickk dass yo job becki no nott realli dnt even noe let alon shit bwt meh last tyme check stranger
13,0,0,0,1,0,0,would say superstiti person yep
15,0,0,0,0,0,0,done ask whorish question xd rofl ahahha xddd cool
15,0,0,0,0,0,0,wanna take ride disco stick take
47,0,1,0,4,0,0,ever strip money would friend stripper would friend stripper friend stipper fine make money
14,0,0,2,1,1,0,lmao wtf lol
13,0,0,0,1,0,0,sk isz colr mah pp mhm
11,0,2,0,0,0,0,leem get choo numbaa
14,0,0,0,1,0,0,like hahahahahaahahahahahahhhahaha everyon think
20,0,0,0,0,0,0,moment eclips show wana see may go tonight ill see
45,0,0,0,0,0,0,well booty ppl shay abit tri not miss muj especi clarissa lol feel free spam still love guy talk soon good play nice shay left build
18,0,0,0,1,0,0,aqre complet aboutt hello kitti thank nice know im not alon haha
16,0,0,0,1,0,0,ha cyberfuck day shit dont even know hahaha lol
41,0,0,0,4,0,0,actual dont fromspr account yea apo say name im never go see littl pathet self daniela happi go stop look like hoe daniela
45,0,0,0,1,0,0,make mad well mayb could find histeri book cool read sorri think left book stand get joke right go take love
28,0,0,0,3,0,0,ahaaa wannah fite amberr soft fridayi gunn fite dah dog park ahaaa lol uh huh say anonomouss
24,0,0,1,2,0,0,would rather actress actor rock star rock star get women lol
6,0,0,1,2,0,0,player wish
29,0,0,0,3,0,0,hey good sweeti go camp weekend work long hour money
14,0,1,0,1,0,0,hey new ask question pleas oki
21,0,0,0,0,0,0,apo get told sad gface wat chu mean lol
65,0,2,0,0,0,0,wow fuck stupid told girl whoo info show quot show face anonymu quot comeback fuck suck quot fight internet like special olymp even win still retard quot um look talk talk shit stop hypocrit
15,0,0,0,1,0,0,heart lock unlock lock divorc
80,0,0,0,9,0,0,celeiti look like look person yay recycl question yay indeedo bore say clue lol would think resembl person wise realli say either think celeiti spotlight enough see true person bit crap question ask realli
56,0,0,0,3,0,0,teacher boss openli favor student employe tell favor find situat fair even student employe hard worker never fair thank work hotel happen yet
21,0,0,0,1,0,0,come name moo yeh spazz moment lol
67,0,0,0,2,0,0,first thing rememb sonni bill vin diesel lol vin diesel apo sex apo personifi oo sonni bill piss lol apo storm fan huh scandal club lol welcom club lol warrior scandal back sunni sexi hmm club scadaluzz sum other
13,0,0,0,1,0,0,apo favorit place buy cloth idrgaf
23,0,0,0,1,0,0,sweet sour sauc sweet sour time fuck awesom
11,0,1,0,1,0,0,enjoy music
35,0,0,2,0,0,0,worri insec spam not spam much everyday atm realli noth better lol lol no worri sweeti
9,0,0,4,1,0,0,gorgeou no gorgeou
57,0,0,0,0,0,0,realli actual think would wast time talk sophomor would want friend year old girl go th grade especi sinc one ugli hoe next time care write againnn dumb hoe
14,0,0,0,2,0,0,hater bck page lol slap tickl comment
30,0,1,2,1,0,0,welcom come shed sometim kelli welli thank creat shed brighton visit
58,0,0,1,4,0,0,person own piec land way center earth hhahahaha never even thought well appar could live crust earth guess end crust oo
11,0,0,0,2,0,0,finger tight ass wtf hahaha
16,0,0,0,0,0,0,captainthrash tumblr com love forev follow oki
22,0,2,0,1,0,0,never said sexi dumbasssssss sure bitch
11,0,0,1,1,0,0,back everyth bff
17,0,0,0,0,0,0,waht stop get lol get central station lmao
9,0,0,0,0,0,0,fav eakki dont eat ekki
33,0,0,0,0,0,0,bitchess get sack hahaha know rite lol cuz want two lmfao im kid lookin two good two lol
20,0,0,0,0,0,0,tinychat earlier nice alway random tinychat
33,0,0,0,1,0,0,weather right well lot rain past coupl day steadi still wet cold though
21,0,0,0,1,0,0,like lil wayn yeh he cool music hook like collabor ppl sik
19,0,0,0,1,0,0,would ever consid sail around world yacht ye experienc person
43,0,0,1,6,0,0,damnn jordan youh got haterss step nem bitchess aha love youhh fuck bulshiit dirtyy slutt came outt hahahaha love abzilla killa yeahh fuckk bullshitt
22,0,2,0,2,0,0,fuck like like tabitha like girl lead well that
10,0,0,0,2,0,0,fuck xd
16,0,0,0,0,0,0,how day toooday alway amaz whenev michaela
13,0,0,0,0,0,0,haha damn ninja thing gave away haha yepp
14,0,0,0,2,0,0,bullllllllll ahah swear could never lie fiance
14,0,0,0,1,0,0,ever go bird watch bird watch actual
16,0,0,1,1,0,0,berlesqu danc interest strip nope stripper get nake
19,0,0,0,1,1,0,rate hmmmmm ok fasho tell ur page lol
12,1,0,1,3,0,0,rofl the weather love eet
35,0,2,0,1,0,0,uuhh realli add random guy know talk time littl desprat creepi cough haha okay
36,0,0,0,2,0,0,duuuun worri love know worri cuz dont love hate zee orphan zee whole vorld
25,0,0,0,1,0,0,cri yell yell usual cri pain yell kind denial thing pain
52,0,1,0,0,0,0,realli fuck scare question get delet serious want save pray lord baybe jesu dakotah question shall prayer also wish salvat wrath evil formspr question delet
18,0,0,0,0,0,0,omar cute coupl babi girl aww thnx lol ahaa
18,0,0,0,1,0,0,ever thought join militari no no desir join militari
17,0,0,0,1,0,0,know everyth must specif tell much
31,0,0,0,1,0,0,like want known biggest ass hole world naaaa jk jk help make daughter better person
21,0,0,0,1,0,0,geni disappear hurri tell last wish wish cure world hunger
14,0,0,0,0,0,0,ur sexi kume suk dikk um no thnxx ill pass
37,0,0,0,1,0,0,ur weekend go awww member that good lmao know im kidn right talk weekend good
25,0,0,0,1,0,0,pick one thing chang urself would sweeti idk stop damn nice
44,0,0,0,2,0,0,drug good bad ugli opinion gener pleas well mean legal kind gooood help mean illeg kind not good although see peopl give unfortun
17,0,0,0,2,0,0,love brizzl love brizzl question
12,0,0,0,2,0,0,virgin think
15,0,0,0,1,0,0,like nose hate mine like mine
26,0,0,0,2,0,0,would rather fuck suck touch dick let go uh let not
12,0,0,0,1,1,0,gayi
24,0,1,0,3,0,0,lmaaaaaaao chell haha yeah im gooooood chell pretti watch skin haha xd yup hot bodi
24,0,0,1,0,0,0,lol told ya done mish muj im come spam im dont question ok dd
12,0,0,0,1,0,0,last time gave flower never
19,0,0,1,0,0,0,zoomik zoorissa zoonata idc omg not zoo nata not dork
12,0,0,0,1,0,0,hoow yuuh bestfriend im good amp bestfriend
25,0,0,0,0,0,0,exactli ur not hard get fuck urself get get fuck
28,0,0,1,0,0,0,ugliii ew hoe ghet lyfe bitch yu soft yuu get fuckinn life amp stop worryinn bowt miness yu fuckk hoe
17,0,1,6,5,0,0,mean life live fast die hard
31,0,0,0,2,0,0,color would smurf turn choke well turn blue human yellowish colour guess would turn colour
17,0,1,0,1,0,0,favorit led zeppelin song hmmm kashmir commun eakdown
15,0,1,0,0,0,0,ask question like time shuddup fool
23,0,0,0,0,0,0,neon suit colour wow lol itskay im roke like
11,0,0,0,2,0,0,suck toni cock nah
34,0,0,0,2,0,0,would like stuck elev least like hmm new person like talk interst least like creepi stalker dude
28,0,0,0,0,0,0,im big fan betti ugler fuck bitch ugli shit head oh wow care
61,0,0,0,1,0,0,one person mean well name one care lot peopl mother rais molli bestfriend nick pocket sunshin hailey help make good memori pick one love
10,0,0,0,1,0,0,think tell
39,0,0,0,1,0,0,question often show doubl inbox keep refresh inbox answer question itu go week ever happen time
23,0,0,0,0,0,0,talk mornin wait boo boo tell what go pleas
56,0,0,0,1,0,0,year favorout school year know not year caus taylor class still could year ummmm beg year coz kayla class lol nice ppl new old class ha
16,0,0,1,1,0,0,protein fiber protein fiber mean get rid lol
10,0,0,0,1,0,0,stress occasion not moment
23,0,0,0,0,0,0,victor want go tree climb got tip ehhhhhhhhhhhhhhhhhhhhhhhhhhh get lul climb nigger
16,0,0,0,2,0,0,peopl australia call rest world idk
11,0,0,0,1,0,0,would like spend retir
23,4,0,0,4,0,0,qq qq wtf iluk gay datz mi homeboi
27,0,0,0,7,0,0,young love bitch use dumb whore put boob away get boob amp life
11,0,0,0,1,0,0,rabbit ferret rabbit safer
23,0,1,7,3,0,0,want spam tell pancak waffl like one better
61,0,0,1,3,0,0,lalaa talk much shit still not step amber like said fuck transvestit man wtf kan hop got prob wit beliv shuwld step fuk btw im not no transvestit beliv tht ur mom
8,0,0,0,0,0,0,suck nigga
18,0,0,0,1,0,0,whoooo would hate misterr suree dont aww never know
57,0,0,0,0,0,0,realli actual think would wast time talk sophomor would want friend year old girl go th grade especi sinc one ugli hoe next time care write againnn dumb hoe
21,0,1,0,1,0,0,poop pee time mucel get way
11,0,0,0,0,0,0,half
14,0,0,0,1,0,0,like onion ye long raw
17,0,0,0,1,0,0,best beach apo ever bondi cronella
46,0,0,0,0,0,0,would ever give blowjob would ever drink sperm becuas realli want wanna sex much not even funni hard get that not weird
13,0,0,0,1,0,0,dope background thank cuti like
9,0,0,0,0,0,0,awwhhhaa rq mhm lol
16,0,0,0,1,0,0,when last time jack haha dont haha
16,0,1,0,1,0,0,chill stroller eastfe
26,0,0,9,0,0,0,dat amriiita guh sexi fucc luuk aht ha leg bruhhhh huh oh yea huh yup realli nice legz
35,0,0,0,2,0,0,like sleepwalk know apo apparenti dont know dont know dont that scari lol
28,0,0,0,3,0,0,get big loss that realli kill know im afraid guess time heal anyth right
18,0,0,2,1,0,0,sleepin around whore lol exactlyyyyyy guess im not xd
32,0,0,0,0,0,0,didnt workout today im gonna redo whole weekr omg better not moodi real caus ill like slap screen lol
12,0,0,0,2,0,0,virgin think
25,0,0,7,8,0,0,nope im not bianca either here clue come new zealand lol chrisssi hahahahah chantel alesha kaile tori lmfao iddkkkkk
11,0,0,0,1,0,0,mani silli band none
32,0,0,0,5,0,0,favorit toy play child fuck suppos rememb weirdo mayb ur mom dick lol
17,0,0,0,1,0,0,sleep nois complet silenc complet silenc dark
21,0,1,1,0,0,0,peopl lie not cute vv right sexi beast
11,0,0,0,0,0,0,say haitian vvv ahahaha
59,0,0,1,0,0,0,pussi ass hoe get straight cu not gun du shitt cu want head orr fadde whatevaaa stay sunrise meet deepsid hoe uh im sure gun otha buh hoe wannah fade bitch sati spring
18,0,0,0,3,0,0,not youz hoe amp baybay im nawt hoe ur weeni
14,0,0,0,0,0,0,gay nah straight
10,0,0,0,0,0,0,look fs saw
33,0,0,0,2,0,0,wallpap cellphon pictur timothi went riverboat cruis dinner soo romant love pictur
25,0,0,8,1,0,0,betta sit ya ol ugli ass first aint ugli kan mssg meh ha damn self
155,0,0,0,1,0,0,kid ur worst fear lmao hospit caus fell verand belconi dreamt dark hall way flicker light im walk hall way past ever room sorri hard explain dad dad pass see alot dream wasnt close think would tell dad like thing wouldnt know ever long stori told famili elder also told dream dad dad tri get dad caus dad dad not close want let dad know sorri ing dad got messag never saw visual never dreamt sinc
42,0,0,4,5,0,0,yeah one littl scar ohhhh freak lucki stupid other that final brother ass glad hear okay im gonna go bed anyway rather tire gooooood night xxxx
23,0,0,0,4,0,0,wanna fuck place mine haha no way surpass romant shit lol
11,0,0,0,1,0,0,know think gay
15,0,0,0,1,0,0,biggest accomplish ummm probabl play softbal year
14,0,1,0,1,0,0,gay da funk problem homi
25,0,0,0,9,0,0,tht woul cool ikrr wud awesom wish
25,0,1,1,3,0,0,way elimin bodi need urin would go hell ye lol
38,0,0,0,3,0,0,like egg soy milk skim milk milk water tast easi drink milk ye miner actual tast
43,0,0,0,2,0,0,click refresh button see incom apo know incom question caus top say new question new answer like new fs
81,0,0,1,1,0,0,ppl get jealou dont know think say girl date guy she talk anoth guy longest time friend anoth girl roll no start talk guy girll friend tri seriou convo distract take time repli mayb dont know holi haha
13,0,1,1,0,0,0,month younger baaaaybeee
12,1,0,0,1,0,0,like twitter lmaoo
14,0,0,1,5,0,0,pub bar club one would go club
14,0,0,0,1,0,0,would turn gay life never know ua
23,0,0,6,4,0,0,what worst present anybodi ever given sesam street bubbl bath dear god
33,0,0,4,1,0,0,true like call earlier could longer deep convo not ilovechu love chuuuu im read rightnow
40,0,1,0,0,0,0,gave best asset haha pretti sure no butt daddi exactli gave felt would abl put better use
11,0,0,1,1,0,0,big ur dick mobey dick lol
13,0,0,0,1,0,0,want dead weather
75,0,0,0,0,0,0,go move telll eh insur yay bet insur wat wana no bout lol privat health insur get take ur nomin account want like choos kinda cover want go medicar plan know differ except medicar free
77,0,2,0,6,0,0,meanzz ask question stuff nawt talk shit anonymu pussi ass bitchez watev tho yew guyz mean shitt affect bitch someon care pussi ass fuken ugli bitchez fukk youu love alwyz marissa ili got right love youu mayb pussi ass bitch say face one day
17,0,0,0,0,0,0,ill fight bitch haha fuckoff loser know
8,0,0,0,0,0,0,chomo nahh
22,0,0,0,1,0,0,mom told dad go sleep couch fight hmm money
30,0,0,0,1,0,0,someon drop wallet credit card driver licens would hand caus im honest like
11,0,0,0,0,0,0,gay haha well fat
17,0,0,0,0,0,0,fuckinq ugli hoe idk ask boy took
17,0,0,1,1,0,0,wanna die kick nutt run biatch
15,0,0,0,1,0,0,new zealand origin live australia
14,0,0,0,1,0,0,one thing except bad definit not pokemon
11,0,0,0,1,0,0,know beard nope
36,0,0,1,2,0,0,jimmi crack corn no one care song jimmi one think marissa dad oc lol
20,0,0,0,3,0,0,heey mani formspr like damn get life care
18,0,0,0,1,0,0,wutt yu gawt pregnaant guess would gett fat babi
7,0,0,0,1,0,0,ask question
60,0,0,7,8,0,0,wait cheyenn sent request wait name tabitha fake no im tabitha jai locascio no clue cheyenn pleas send link see guess might use pictur myspac facebook
37,0,0,0,2,0,0,ever seen movi norbit love movi what favorit part like goe water slide tackl norbit bed never seen
19,0,0,0,1,0,0,what recip disast gimm one guy girl pizza place haha
19,0,0,1,1,0,0,believ creator life nope god
57,0,0,0,1,0,0,much road work ur area sometim get sick road work know import realli back traffic not muj realli thank god hate rush stop slow road work
49,0,0,0,1,0,0,funniest nicknam call woodi work releas program fresh jail guy saw outsid said quot guy look like woodi toy stori quot stuck year
18,0,0,0,0,0,0,hope bunz ok know im go see wtf that right
119,0,0,1,2,0,0,hahaha lol mind true itish youth drink straight bottl side pond mix juic sometim well depend im go im go tend drink probabl littl much straight get quot mood quot dont need drink much im otherwis im home someth usual mix someth make cocktail basic depend drunk want get lol normal ye answer question short sentenc may person
61,0,0,0,4,0,0,cross eye ye dont like crazi fear think one time eye stuck like lf satisfi know last time hahaha im weirdo ya never know ya know
11,0,0,0,1,0,0,wen get twitter novemb
11,0,0,0,0,0,0,dude ewwwwr go home roger back
44,0,2,0,1,0,0,keep post answer question saw someon ask gay answer uacuac wanna know answer
60,0,0,2,0,0,0,still today shit sad stfu rachel yo ass look like damn piqq lala dissappoint yo sister gonna get playd dude naent say mmhm mind uur bius funni kuhh stay tryna talk mah friend hun get annonom pussi ah hoe
60,0,2,1,0,0,0,lmfao fuck creepi amp must no friend life creat mulipl formspr say theyr fake quit think everyon want amp copi no one would fake sorri pathet poser one creepi stalker
14,0,0,0,0,0,0,sex sex sex spam spam spam haha aw ilovey piefac
44,0,1,2,4,0,0,hey bitch boob count reason fat fat skinni still got em way better noth get life bitch get anonym bullshit
24,0,0,0,3,0,0,excercis regularli often no yoga bit twice week
18,0,0,0,4,0,0,snack movi theatr popcorn twizzler mike ike
9,0,0,0,0,0,0,ilovey suck malteas
24,0,0,0,2,0,0,last one ask back pleas money buy temporari happi give person perman happi daughter
51,0,1,2,3,0,0,guess get life even know would even start shit serious must bit mess head pathet one inform nope mess
16,0,0,0,1,0,0,ugli thank think need jesu life
10,0,0,0,0,0,0,thankyou gorgeou xxx hahah no problem mamasita
18,0,1,0,0,0,0,no fun must dull life loser
9,0,0,0,0,0,0,sweeeeet said
9,0,0,1,1,0,0,vergin hhaahahha ye
13,0,0,0,0,0,0,everyon wear blue no idea tuna
20,0,0,12,2,0,0,yo hit sumtim kum bi plase horneeeeeeeeeee deal name number id lol
20,0,0,0,1,0,0,ever gone chinatown ye use luch china town best ever
13,0,0,0,1,0,0,waht train ride ride east hill line
11,0,0,0,1,0,0,know think gay
33,0,0,0,0,0,0,hello find profil hmm wonder ask one peopl follow show home page
33,0,4,0,2,0,0,text right respond go burn hous mean pryce
26,0,0,0,1,0,0,hi sweeti apo msn contact gmac told ask morn gave alreadi lol
11,0,0,0,2,0,0,ohio cincinnati
14,0,0,0,0,0,0,hi still no load lmao ok chill
26,0,0,0,1,0,0,mad would rape depend
10,0,0,0,0,0,0,miss willzzi
9,0,0,0,1,0,0,emac naughty right right
17,0,0,0,2,0,0,nobodi buy ticket movi still show mayb
46,0,0,2,1,0,0,ps xbox wii hmmm that good question probabl tie wii xbox wii cuz got one xma xbox cuz awesom well lol dont one
21,0,0,0,2,0,0,get rid boredom lmao fb fs msn yahoo answer lmao bord
11,0,0,0,1,0,0,ever skinni dip not yet no lol
10,0,0,0,1,0,0,high heel rubber shoe high heel
23,0,0,0,1,0,0,shed tonight well cours dear that alright lame excus fill answer song
28,0,0,0,2,0,0,apo favorit person ellisboro one love ashley juli abbi rhiannon brittani amp girl
17,0,1,0,1,0,0,real name tosha haejin goodin real get lol
37,0,0,0,2,0,0,happiest situat could imagin imagin well happili marri perfect job perfect kid perfect life whatev perfect no im not kati
15,0,0,0,1,0,0,know soap opera omg dont care
11,0,0,0,1,0,0,masturb silli shoosh no
36,1,0,1,3,0,0,erpcod hello got report harass page success delet account anymor bug contact formspr comr great day formspr fake shit
9,0,0,0,0,0,0,aww coolr yew seem cool thnk
13,0,0,0,0,0,0,ing itouch back lmao dork
60,0,1,1,0,0,0,tabi peopl talk shit formspr anonym need grow pair gonna hate anonym obvious no life grow stop tri start shit internet love tabi awhhh thankyou best loveyouto
55,2,0,0,12,0,0,pu pu zzi burn cnd dp thr vvrld hv nch dwn hr nc ly nq well lemm trow mine dnt yo thoart nd idnt eat pussi ya wont duin dat
45,0,0,0,2,0,0,anyon feel get ever situat felt someon get done make feel way casper wyo polic basterd
16,0,0,0,1,1,0,that sum real deep stuff huh
36,0,0,0,2,0,0,lmao somon distract lmao cant write right ok undastand ur obbsess lmfao wat not ahaha shup cu spame contact go find lmao
41,0,3,0,0,0,0,sure hell look like dog fuck call hun got look like damn dog hun lol gonna
83,0,1,0,3,0,0,im learn french school know italian word phrase grandmoth taught not mani though learn yea told pronounc word properli appar major thing peopl mess well congrat buttttt think someon homework correct not read formspr answer yeah video italian word pleaseeeee
27,0,0,0,1,0,0,kaydol bettaa rhubinathi cuss suck dick oth fat hoe wont luv slut okay
18,0,0,0,0,0,0,pictur look shop told monitor punch face like
69,0,0,0,3,0,0,modern tradit style home would say modern realli love highli design thing would want look live know lot modern design realli realli empti realli love anyway love thing unusu colour suppos could mix
21,0,0,0,0,0,0,alreadyy friendss myspace justt tri ad oh haha yea know
10,0,0,0,2,0,0,like dina
69,0,1,2,4,0,0,matur age individu act believ consid adult cannot act matur explain detail random age pick person think adult dumb kid thought knew everyth not lol
13,0,0,0,0,0,0,empti inbox final bed sweet dream fs sweet dream
14,0,0,0,0,0,0,peopl like coffe peopl like
11,0,0,0,4,0,0,loser miss miss
